file,entries,collection,status
N/A,0,embed_model,Using embedding model: unknown
N/A,0,LLM,Using embedding model: unknown
ALL,0,ALL,Wiped Chroma store
spells\spells-xphb.json,391,grim_actions,Re-indexed (changed)
spells\spells-xphb.json,391,grim_adventures,Re-indexed (changed)
spells\spells-xphb.json,391,grim_backgrounds,Re-indexed (changed)
spells\spells-xphb.json,391,grim_bastions,Re-indexed (changed)
spells\spells-xphb.json,391,grim_books,Re-indexed (changed)
spells\spells-xphb.json,391,grim_charcreationoptions,Re-indexed (changed)
spells\spells-xphb.json,391,grim_conditionsdiseases,Re-indexed (changed)
spells\spells-xphb.json,391,grim_cultsboons,Re-indexed (changed)
spells\spells-xphb.json,391,grim_decks,Re-indexed (changed)
spells\spells-xphb.json,391,grim_deities,Re-indexed (changed)
spells\spells-xphb.json,391,grim_encounters,Re-indexed (changed)
spells\spells-xphb.json,391,grim_feats,Re-indexed (changed)
spells\spells-xphb.json,391,grim_items-base,Re-indexed (changed)
spells\spells-xphb.json,391,grim_items,Re-indexed (changed)
spells\spells-xphb.json,391,grim_languages,Re-indexed (changed)
spells\spells-xphb.json,391,grim_life,Re-indexed (changed)
spells\spells-xphb.json,391,grim_loot,Re-indexed (changed)
spells\spells-xphb.json,391,grim_magicvariants,Re-indexed (changed)
spells\spells-xphb.json,391,grim_makebrew-creature,Re-indexed (changed)
spells\spells-xphb.json,391,grim_makecards,Re-indexed (changed)
spells\spells-xphb.json,391,grim_monsterfeatures,Re-indexed (changed)
spells\spells-xphb.json,391,grim_msbcr,Re-indexed (changed)
spells\spells-xphb.json,391,grim_names,Re-indexed (changed)
spells\spells-xphb.json,391,grim_objects,Re-indexed (changed)
spells\spells-xphb.json,391,grim_optionalfeatures,Re-indexed (changed)
spells\spells-xphb.json,391,grim_psionics,Re-indexed (changed)
spells\spells-xphb.json,391,grim_races,Re-indexed (changed)
spells\spells-xphb.json,391,grim_recipes,Re-indexed (changed)
spells\spells-xphb.json,391,grim_renderdemo,Re-indexed (changed)
spells\spells-xphb.json,391,grim_rewards,Re-indexed (changed)
spells\spells-xphb.json,391,grim_senses,Re-indexed (changed)
spells\spells-xphb.json,391,grim_skills,Re-indexed (changed)
spells\spells-xphb.json,391,grim_tables,Re-indexed (changed)
spells\spells-xphb.json,391,grim_trapshazards,Re-indexed (changed)
spells\spells-xphb.json,391,grim_variantrules,Re-indexed (changed)
spells\spells-xphb.json,391,grim_vehicles,Re-indexed (changed)
spells\spells-xphb.json,391,grim_adventure,Re-indexed (changed)
spells\spells-xphb.json,391,grim_bestiary,Re-indexed (changed)
spells\spells-xphb.json,391,grim_book,Re-indexed (changed)
spells\spells-xphb.json,391,grim_class,Re-indexed (changed)
spells\spells-xphb.json,391,grim_generated,Re-indexed (changed)
spells\spells-xphb.json,391,grim_spells,Re-indexed (changed)
