file,entries,collection,status
N/A,0,embed_model,Using embedding model: unknown
N/A,0,LLM,Using embedding model: unknown
ALL,0,ALL,Wiped Chroma store
,48,grim_actions,Re-indexed (changed)
,94,grim_adventures,Re-indexed (changed)
,142,grim_backgrounds,Re-indexed (changed)
,35,grim_bastions,Re-indexed (changed)
,52,grim_books,Re-indexed (changed)
,44,grim_charcreationoptions,Re-indexed (changed)
,30,grim_conditionsdiseases,Re-indexed (changed)
,30,grim_cultsboons,Re-indexed (changed)
,34,grim_decks,Re-indexed (changed)
,551,grim_deities,Re-indexed (changed)
,39,grim_encounters,Re-indexed (changed)
,192,grim_feats,Re-indexed (changed)
,193,grim_items-base,Re-indexed (changed)
,2474,grim_items,Re-indexed (changed)
,169,grim_languages,Re-indexed (changed)
,12,grim_life,Re-indexed (changed)
,4,grim_loot,Re-indexed (changed)
,212,grim_magicvariants,Re-indexed (changed)
,232,grim_makebrew-creature,Re-indexed (changed)
,12,grim_makecards,Re-indexed (changed)
,25,grim_monsterfeatures,Re-indexed (changed)
,34,grim_msbcr,Re-indexed (changed)
,10,grim_names,Re-indexed (changed)
,35,grim_objects,Re-indexed (changed)
,209,grim_optionalfeatures,Re-indexed (changed)
,52,grim_psionics,Re-indexed (changed)
,145,grim_races,Re-indexed (changed)
,241,grim_recipes,Re-indexed (changed)
,1,grim_renderdemo,Re-indexed (changed)
,253,grim_rewards,Re-indexed (changed)
,8,grim_senses,Re-indexed (changed)
,36,grim_skills,Re-indexed (changed)
,14,grim_tables,Re-indexed (changed)
,37,grim_trapshazards,Re-indexed (changed)
,240,grim_variantrules,Re-indexed (changed)
,36,grim_vehicles,Re-indexed (changed)
,712,grim_adventure,Re-indexed (changed)
,4584,grim_bestiary,Re-indexed (changed)
,365,grim_book,Re-indexed (changed)
,29,grim_class,Re-indexed (changed)
,2318,grim_generated,Re-indexed (changed)
spells\spells-xphb.json,918,grim_spells,Re-indexed (changed)
