file,entries,collection,status
N/A,0,embed_model,Using embedding model: unknown
N/A,0,LLM,🧠 Using local LLM via Ollama (gemma:2b-instruct)
ALL,0,ALL,Wiped Chroma store
actions.json,48,grim_actions,Re-indexed (changed)
adventures.json,94,grim_adventures,Re-indexed (changed)
backgrounds.json,142,grim_backgrounds,Re-indexed (changed)
bastions.json,35,grim_bastions,Re-indexed (changed)
books.json,52,grim_books,Re-indexed (changed)
changelog.json,0,grim_changelog,Re-indexed (changed)
charcreationoptions.json,44,grim_charcreationoptions,Re-indexed (changed)
conditionsdiseases.json,30,grim_conditionsdiseases,Re-indexed (changed)
cultsboons.json,30,grim_cultsboons,Re-indexed (changed)
decks.json,34,grim_decks,Re-indexed (changed)
deities.json,551,grim_deities,Re-indexed (changed)
encounters.json,39,grim_encounters,Re-indexed (changed)
feats.json,192,grim_feats,Re-indexed (changed)
fluff-backgrounds.json,139,grim_fluff-backgrounds,Re-indexed (changed)
fluff-bastions.json,4,grim_fluff-bastions,Re-indexed (changed)
fluff-charcreationoptions.json,5,grim_fluff-charcreationoptions,Re-indexed (changed)
fluff-conditionsdiseases.json,13,grim_fluff-conditionsdiseases,Re-indexed (changed)
fluff-feats.json,19,grim_fluff-feats,Re-indexed (changed)
fluff-items.json,946,grim_fluff-items,Re-indexed (changed)
fluff-languages.json,26,grim_fluff-languages,Re-indexed (changed)
fluff-objects.json,11,grim_fluff-objects,Re-indexed (changed)
fluff-optionalfeatures.json,1,grim_fluff-optionalfeatures,Re-indexed (changed)
fluff-races.json,204,grim_fluff-races,Re-indexed (changed)
fluff-recipes.json,241,grim_fluff-recipes,Re-indexed (changed)
fluff-rewards.json,2,grim_fluff-rewards,Re-indexed (changed)
fluff-trapshazards.json,5,grim_fluff-trapshazards,Re-indexed (changed)
fluff-vehicles.json,33,grim_fluff-vehicles,Re-indexed (changed)
foundry-actions.json,10,grim_foundry-actions,Re-indexed (changed)
foundry-feats.json,50,grim_foundry-feats,Re-indexed (changed)
foundry-items.json,355,grim_foundry-items,Re-indexed (changed)
foundry-optionalfeatures.json,96,grim_foundry-optionalfeatures,Re-indexed (changed)
foundry-psionics.json,0,grim_foundry-psionics,Re-indexed (changed)
foundry-races.json,1,grim_foundry-races,Re-indexed (changed)
foundry-rewards.json,2,grim_foundry-rewards,Re-indexed (changed)
foundry-vehicles.json,1,grim_foundry-vehicles,Re-indexed (changed)
items-base.json,193,grim_items-base,Re-indexed (changed)
items.json,2474,grim_items,Re-indexed (changed)
languages.json,169,grim_languages,Re-indexed (changed)
life.json,12,grim_life,Re-indexed (changed)
loot.json,4,grim_loot,Re-indexed (changed)
magicvariants.json,212,grim_magicvariants,Re-indexed (changed)
