file,entries,collection,status
N/A,63,ALL,Chroma store wiped
actions.json,48,grim_actions,Success
adventures.json,94,grim_adventures,Success
backgrounds.json,142,grim_backgrounds,Success
bastions.json,35,grim_bastions,Success
books.json,52,grim_books,Success
changelog.json,0,grim_changelog,Success
charcreationoptions.json,44,grim_charcreationoptions,Success
conditionsdiseases.json,30,grim_conditionsdiseases,Success
cultsboons.json,30,grim_cultsboons,Success
decks.json,34,grim_decks,Success
deities.json,551,grim_deities,Success
encounters.json,39,grim_encounters,Success
feats.json,192,grim_feats,Success
fluff-backgrounds.json,139,grim_fluff-backgrounds,Success
fluff-bastions.json,4,grim_fluff-bastions,Success
fluff-charcreationoptions.json,5,grim_fluff-charcreationoptions,Success
fluff-conditionsdiseases.json,13,grim_fluff-conditionsdiseases,Success
fluff-feats.json,19,grim_fluff-feats,Success
fluff-items.json,946,grim_fluff-items,Success
fluff-languages.json,26,grim_fluff-languages,Success
fluff-objects.json,11,grim_fluff-objects,Success
fluff-optionalfeatures.json,1,grim_fluff-optionalfeatures,Success
fluff-races.json,204,grim_fluff-races,Success
fluff-recipes.json,241,grim_fluff-recipes,Success
fluff-rewards.json,2,grim_fluff-rewards,Success
fluff-trapshazards.json,5,grim_fluff-trapshazards,Success
fluff-vehicles.json,33,grim_fluff-vehicles,Success
foundry-actions.json,10,grim_foundry-actions,Success
foundry-feats.json,50,grim_foundry-feats,Success
foundry-items.json,355,grim_foundry-items,Success
foundry-optionalfeatures.json,96,grim_foundry-optionalfeatures,Success
foundry-psionics.json,0,grim_foundry-psionics,Success
foundry-races.json,1,grim_foundry-races,Success
foundry-rewards.json,2,grim_foundry-rewards,Success
foundry-vehicles.json,1,grim_foundry-vehicles,Success
items-base.json,193,grim_items-base,Success
items.json,2474,grim_items,Success
languages.json,169,grim_languages,Success
life.json,12,grim_life,Success
loot.json,4,grim_loot,Success
magicvariants.json,212,grim_magicvariants,Success
makebrew-creature.json,232,grim_makebrew-creature,Success
makecards.json,12,grim_makecards,Success
monsterfeatures.json,25,grim_monsterfeatures,Success
msbcr.json,34,grim_msbcr,Success
names.json,10,grim_names,Success
objects.json,35,grim_objects,Success
